,id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7
3249,1433541,55891,2021-10-12 17:12:41,0,0,0,0,0,0,0,0
3250,1433585,55891,2021-10-12 17:13:41,0,0,0,0,0,0,0,0
3251,1433629,55891,2021-10-12 17:14:41,0,0,0,0,0,0,0,0
3252,1433673,55891,2021-10-12 17:15:41,0,0,0,0,0,0,0,0
3253,1433717,55891,2021-10-12 17:16:43,0,0,0,0,0,0,0,0
3254,1433761,55891,2021-10-12 17:17:41,0,0,0,0,0,0,0,0
3255,1433805,55891,2021-10-12 17:18:41,0,0,0,0,0,0,0,0
3256,1433849,55891,2021-10-12 17:19:41,0,0,0,0,0,0,0,0
3257,1433893,55891,2021-10-12 17:20:41,0,0,0,0,0,0,0,0
3258,1433937,55891,2021-10-12 17:21:41,0,0,0,0,0,0,0,0
3259,1433981,55891,2021-10-12 17:22:41,0,0,0,0,0,0,0,0
3260,1434025,55891,2021-10-12 17:23:41,0,0,0,0,0,0,0,0
3261,1434069,55891,2021-10-12 17:24:41,0,0,0,0,0,0,0,0
3262,1434113,55891,2021-10-12 17:25:41,0,0,0,0,0,0,0,0
3263,1434157,55891,2021-10-12 17:26:41,0,0,0,0,0,0,0,0
3264,1434201,55891,2021-10-12 17:27:41,0,0,0,0,0,0,0,0
3265,1434245,55891,2021-10-12 17:28:41,0,0,0,0,0,0,0,0
3266,1434289,55891,2021-10-12 17:29:41,0,0,0,0,0,0,0,0
3267,1434333,55891,2021-10-12 17:30:41,0,0,0,0,0,0,0,0
3268,1434377,55891,2021-10-12 17:31:41,0,0,0,0,0,0,0,0
3269,1434421,55891,2021-10-12 17:32:41,0,0,0,0,0,0,0,0
3270,1434465,55891,2021-10-12 17:33:41,0,0,0,0,0,0,0,0
3271,1434509,55891,2021-10-12 17:34:41,0,0,0,0,0,0,0,0
3272,1434553,55891,2021-10-12 17:35:41,0,0,0,0,0,0,0,0
3273,1434597,55891,2021-10-12 17:36:41,0,0,0,0,0,0,0,0
3274,1434641,55891,2021-10-12 17:37:41,0,0,0,0,0,0,0,0
3275,1434685,55891,2021-10-12 17:38:41,0,0,0,0,0,0,0,0
3276,1434729,55891,2021-10-12 17:39:41,0,0,0,0,0,0,0,0
3277,1434773,55891,2021-10-12 17:40:41,0,0,0,0,0,0,0,0
3278,1434817,55891,2021-10-12 17:41:41,0,0,0,0,0,0,0,0
3279,1434861,55891,2021-10-12 17:42:41,0,0,0,0,0,0,0,0
3280,1434905,55891,2021-10-12 17:43:41,0,0,0,0,0,0,0,0
3281,1434949,55891,2021-10-12 17:44:41,0,0,0,0,0,0,0,0
3282,1434993,55891,2021-10-12 17:45:41,0,0,0,0,0,0,0,0
3283,1435037,55891,2021-10-12 17:46:41,0,0,0,0,0,0,0,0
3284,1435081,55891,2021-10-12 17:47:41,0,0,0,0,0,0,0,0
3285,1435125,55891,2021-10-12 17:48:41,0,0,0,0,0,0,0,0
