id,sensorId,timestamp,chan_0,chan_1
4052377,57226,2021-12-22T19:41:32.000Z,0,0
4052397,57226,2021-12-22T19:42:32.000Z,0,0
4052417,57226,2021-12-22T19:43:32.000Z,0,0
4052437,57226,2021-12-22T19:44:32.000Z,0,0
4052457,57226,2021-12-22T19:45:32.000Z,0,0
4052477,57226,2021-12-22T19:46:32.000Z,0,0
4052497,57226,2021-12-22T19:47:32.000Z,0,0
4052517,57226,2021-12-22T19:48:32.000Z,0,0
4052537,57226,2021-12-22T19:49:32.000Z,0,0
4052557,57226,2021-12-22T19:50:32.000Z,0,0
4052577,57226,2021-12-22T19:51:32.000Z,0,0
4052597,57226,2021-12-22T19:52:32.000Z,0,0
4052617,57226,2021-12-22T19:53:32.000Z,0,0
4052637,57226,2021-12-22T19:54:32.000Z,0,0
4052657,57226,2021-12-22T19:55:32.000Z,0,0
4052677,57226,2021-12-22T19:56:32.000Z,0,0
4052697,57226,2021-12-22T19:57:32.000Z,0,0
4052717,57226,2021-12-22T19:58:32.000Z,0,0
4052737,57226,2021-12-22T19:59:32.000Z,0,0
4052757,57226,2021-12-22T20:00:32.000Z,0,0
4052777,57226,2021-12-22T20:01:32.000Z,2451,147
4052797,57226,2021-12-22T20:02:32.000Z,5048,302
4052817,57226,2021-12-22T20:03:32.000Z,2880,172
4052837,57226,2021-12-22T20:04:32.000Z,0,0
4052857,57226,2021-12-22T20:05:32.000Z,0,0
4052877,57226,2021-12-22T20:06:32.000Z,0,0
4052897,57226,2021-12-22T20:07:32.000Z,0,0
4052917,57226,2021-12-22T20:08:32.000Z,0,0
4052937,57226,2021-12-22T20:09:32.000Z,0,0
4052957,57226,2021-12-22T20:10:32.000Z,0,0
4052977,57226,2021-12-22T20:11:32.000Z,0,0
4052997,57226,2021-12-22T20:12:32.000Z,0,0
4053017,57226,2021-12-22T20:13:32.000Z,0,0
4053037,57226,2021-12-22T20:14:32.000Z,0,0
4053057,57226,2021-12-22T20:15:32.000Z,0,0
4053077,57226,2021-12-22T20:16:32.000Z,0,0
4053097,57226,2021-12-22T20:17:32.000Z,0,0
4053117,57226,2021-12-22T20:18:32.000Z,0,0
4053137,57226,2021-12-22T20:19:32.000Z,0,0
4053157,57226,2021-12-22T20:20:32.000Z,0,0
