id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7
1654241,55891,2021-10-16T05:52:41.000Z,0,0,0,0,0,0,0,0
1654285,55891,2021-10-16T05:53:41.000Z,0,0,0,0,0,0,0,0
1654329,55891,2021-10-16T05:54:41.000Z,0,0,0,0,0,0,0,0
1654373,55891,2021-10-16T05:55:41.000Z,0,0,0,0,0,0,0,0
1654417,55891,2021-10-16T05:56:41.000Z,0,0,0,0,0,0,0,0
1654461,55891,2021-10-16T05:57:41.000Z,0,0,0,0,0,0,0,0
1654505,55891,2021-10-16T05:58:41.000Z,0,0,0,0,0,0,0,0
1654549,55891,2021-10-16T05:59:41.000Z,0,0,0,0,0,0,0,0
1654593,55891,2021-10-16T06:00:41.000Z,0,0,0,0,0,0,0,0
1654637,55891,2021-10-16T06:01:41.000Z,0,0,0,0,0,0,0,0
1654681,55891,2021-10-16T06:02:41.000Z,0,0,0,0,0,0,0,0
1654725,55891,2021-10-16T06:03:41.000Z,0,0,0,0,0,0,0,0
1654769,55891,2021-10-16T06:04:41.000Z,0,0,0,0,0,0,0,0
1654813,55891,2021-10-16T06:05:41.000Z,0,0,0,0,0,0,0,0
1654857,55891,2021-10-16T06:06:41.000Z,0,0,0,0,0,0,0,0
1654901,55891,2021-10-16T06:07:41.000Z,0,0,0,0,0,0,0,0
1654945,55891,2021-10-16T06:08:41.000Z,0,0,0,0,0,0,0,0
1654989,55891,2021-10-16T06:09:41.000Z,0,0,0,0,0,0,0,0
1655033,55891,2021-10-16T06:10:41.000Z,0,0,0,0,0,0,0,0
1655077,55891,2021-10-16T06:11:41.000Z,0,0,0,0,0,0,0,0
1655121,55891,2021-10-16T06:12:41.000Z,0,0,0,0,0,0,0,0
1655165,55891,2021-10-16T06:13:41.000Z,0,0,0,0,0,0,0,0
1655209,55891,2021-10-16T06:14:41.000Z,0,0,0,0,0,0,0,0
1655253,55891,2021-10-16T06:15:41.000Z,0,0,0,0,0,0,0,0
1655297,55891,2021-10-16T06:16:41.000Z,0,0,0,0,0,0,0,0
1655341,55891,2021-10-16T06:17:41.000Z,0,0,0,0,0,0,0,0
1655385,55891,2021-10-16T06:18:41.000Z,0,0,0,0,0,0,0,0
1655429,55891,2021-10-16T06:19:41.000Z,0,0,0,0,0,0,0,0
1655473,55891,2021-10-16T06:20:41.000Z,0,0,0,0,0,0,0,0
1655517,55891,2021-10-16T06:21:41.000Z,0,0,0,0,0,0,0,0
1655561,55891,2021-10-16T06:22:41.000Z,0,0,0,0,0,0,0,0
1655605,55891,2021-10-16T06:23:41.000Z,0,0,0,0,0,0,0,0
1655649,55891,2021-10-16T06:24:41.000Z,0,0,0,0,0,0,0,0
1655693,55891,2021-10-16T06:25:41.000Z,0,0,0,0,0,0,0,0
1655737,55891,2021-10-16T06:26:41.000Z,0,0,0,0,0,0,0,0
1655781,55891,2021-10-16T06:27:41.000Z,0,0,0,0,0,0,0,0
1655825,55891,2021-10-16T06:28:41.000Z,0,0,0,0,0,0,0,0
1655869,55891,2021-10-16T06:29:41.000Z,0,0,0,0,0,0,0,0
1655913,55891,2021-10-16T06:30:41.000Z,0,0,0,0,0,0,0,0
1655957,55891,2021-10-16T06:31:41.000Z,0,0,0,0,0,0,0,0
1656001,55891,2021-10-16T06:32:41.000Z,0,0,0,0,0,0,0,0
1656045,55891,2021-10-16T06:33:41.000Z,0,0,0,0,0,0,0,0
1656089,55891,2021-10-16T06:34:41.000Z,0,0,0,0,0,0,0,0
1656133,55891,2021-10-16T06:35:41.000Z,0,0,0,0,0,0,0,0
1656177,55891,2021-10-16T06:36:41.000Z,0,0,0,0,0,0,0,0
1656221,55891,2021-10-16T06:37:41.000Z,0,0,0,0,0,0,0,0
1656265,55891,2021-10-16T06:38:41.000Z,0,0,0,0,0,0,0,0
1656309,55891,2021-10-16T06:39:41.000Z,0,0,0,0,0,0,0,0
1656353,55891,2021-10-16T06:40:41.000Z,0,0,0,0,0,0,0,0
1656397,55891,2021-10-16T06:41:41.000Z,0,0,0,0,0,0,0,0
1656441,55891,2021-10-16T06:42:41.000Z,0,0,0,0,0,0,0,0
1656485,55891,2021-10-16T06:43:41.000Z,0,0,0,0,0,0,0,0
1656529,55891,2021-10-16T06:44:41.000Z,0,0,0,0,0,0,0,0
1656573,55891,2021-10-16T06:45:41.000Z,0,0,0,0,1953,117,0,0
1656617,55891,2021-10-16T06:46:41.000Z,0,0,0,0,4226,253,0,0
1656661,55891,2021-10-16T06:47:41.000Z,0,0,0,0,3882,232,0,0
1656705,55891,2021-10-16T06:48:41.000Z,0,0,0,0,148,8,0,0
1656749,55891,2021-10-16T06:49:41.000Z,0,0,0,0,0,0,0,0
1656793,55891,2021-10-16T06:50:41.000Z,0,0,0,0,0,0,0,0
1656837,55891,2021-10-16T06:51:41.000Z,0,0,0,0,0,0,0,0
1656881,55891,2021-10-16T06:52:41.000Z,0,0,0,0,0,0,0,0
1656925,55891,2021-10-16T06:53:41.000Z,0,0,0,0,0,0,0,0
1656969,55891,2021-10-16T06:54:41.000Z,0,0,0,0,0,0,0,0
1657013,55891,2021-10-16T06:55:41.000Z,0,0,0,0,0,0,0,0
1657057,55891,2021-10-16T06:56:41.000Z,0,0,0,0,0,0,0,0
1657101,55891,2021-10-16T06:57:41.000Z,0,0,0,0,0,0,0,0
1657145,55891,2021-10-16T06:58:41.000Z,0,0,0,0,0,0,0,0
1657189,55891,2021-10-16T06:59:41.000Z,0,0,0,0,0,0,0,0
1657233,55891,2021-10-16T07:00:41.000Z,0,0,0,0,0,0,0,0
1657277,55891,2021-10-16T07:01:41.000Z,0,0,0,0,0,0,0,0
1657321,55891,2021-10-16T07:02:41.000Z,0,0,0,0,0,0,0,0
1657365,55891,2021-10-16T07:03:41.000Z,0,0,0,0,0,0,0,0
1657409,55891,2021-10-16T07:04:41.000Z,0,0,0,0,0,0,0,0
1657453,55891,2021-10-16T07:05:41.000Z,0,0,0,0,0,0,0,0
1657497,55891,2021-10-16T07:06:41.000Z,0,0,0,0,0,0,0,0
1657541,55891,2021-10-16T07:07:41.000Z,0,0,0,0,0,0,0,0
1657585,55891,2021-10-16T07:08:41.000Z,0,0,0,0,0,0,0,0
1657629,55891,2021-10-16T07:09:41.000Z,0,0,0,0,0,0,0,0
1657673,55891,2021-10-16T07:10:41.000Z,0,0,0,0,0,0,0,0
1657717,55891,2021-10-16T07:11:41.000Z,0,0,0,0,0,0,0,0
1657761,55891,2021-10-16T07:12:41.000Z,0,0,0,0,0,0,0,0
1657805,55891,2021-10-16T07:13:41.000Z,0,0,0,0,0,0,0,0
1657849,55891,2021-10-16T07:14:41.000Z,0,0,0,0,0,0,0,0
1657893,55891,2021-10-16T07:15:41.000Z,0,0,0,0,0,0,0,0
1657937,55891,2021-10-16T07:16:41.000Z,0,0,0,0,0,0,0,0
1657981,55891,2021-10-16T07:17:41.000Z,0,0,0,0,0,0,0,0
1658025,55891,2021-10-16T07:18:41.000Z,0,0,0,0,0,0,0,0
1658069,55891,2021-10-16T07:19:41.000Z,0,0,0,0,0,0,0,0
1658113,55891,2021-10-16T07:20:41.000Z,0,0,0,0,0,0,0,0
1658157,55891,2021-10-16T07:21:41.000Z,0,0,0,0,0,0,0,0
1658201,55891,2021-10-16T07:22:41.000Z,0,0,0,0,0,0,0,0
1658245,55891,2021-10-16T07:23:41.000Z,0,0,0,0,0,0,0,0
1658289,55891,2021-10-16T07:24:41.000Z,0,0,0,0,0,0,0,0
1658333,55891,2021-10-16T07:25:41.000Z,0,0,0,0,0,0,0,0
1658377,55891,2021-10-16T07:26:41.000Z,0,0,0,0,0,0,0,0
1658421,55891,2021-10-16T07:27:41.000Z,0,0,0,0,0,0,0,0
1658465,55891,2021-10-16T07:28:41.000Z,0,0,0,0,0,0,0,0
1658509,55891,2021-10-16T07:29:41.000Z,0,0,0,0,0,0,0,0
1658553,55891,2021-10-16T07:30:41.000Z,0,0,0,0,0,0,0,0
1658597,55891,2021-10-16T07:31:41.000Z,0,0,0,0,0,0,0,0
