id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5
7308817,57226,2022-05-04T21:33:32.000Z,0,0,0,0,0,0
7308849,57226,2022-05-04T21:34:32.000Z,0,0,0,0,0,0
7308881,57226,2022-05-04T21:35:32.000Z,0,0,0,0,0,0
7308913,57226,2022-05-04T21:36:32.000Z,0,0,0,0,0,0
7308945,57226,2022-05-04T21:37:32.000Z,0,0,0,0,0,0
7308977,57226,2022-05-04T21:38:32.000Z,0,0,0,0,0,0
7309009,57226,2022-05-04T21:39:32.000Z,0,0,0,0,0,0
7309041,57226,2022-05-04T21:40:32.000Z,0,0,0,0,0,0
7309073,57226,2022-05-04T21:41:32.000Z,0,0,0,0,0,0
7309105,57226,2022-05-04T21:42:32.000Z,0,0,0,0,0,0
7309137,57226,2022-05-04T21:43:32.000Z,0,0,0,0,0,0
7309169,57226,2022-05-04T21:44:32.000Z,0,0,0,0,0,0
7309201,57226,2022-05-04T21:45:32.000Z,0,0,0,0,0,0
7309233,57226,2022-05-04T21:46:32.000Z,0,0,0,0,0,0
7309265,57226,2022-05-04T21:47:32.000Z,0,0,0,0,0,0
7309297,57226,2022-05-04T21:48:32.000Z,0,0,0,0,0,0
7309329,57226,2022-05-04T21:49:32.000Z,0,0,0,0,0,0
7309361,57226,2022-05-04T21:50:32.000Z,0,0,0,0,0,0
7309393,57226,2022-05-04T21:51:32.000Z,0,0,0,0,0,0
7309425,57226,2022-05-04T21:52:32.000Z,0,0,0,0,0,0
7309457,57226,2022-05-04T21:53:32.000Z,0,0,0,0,0,0
7309489,57226,2022-05-04T21:54:32.000Z,0,0,0,0,0,0
7309521,57226,2022-05-04T21:55:32.000Z,0,0,0,0,0,0
7309553,57226,2022-05-04T21:56:32.000Z,0,0,0,0,0,0
7309585,57226,2022-05-04T21:57:32.000Z,0,0,0,0,0,0
7309617,57226,2022-05-04T21:58:32.000Z,0,0,0,0,0,0
7309649,57226,2022-05-04T21:59:32.000Z,0,0,0,0,0,0
7309681,57226,2022-05-04T22:00:32.000Z,0,0,0,0,0,0
7309713,57226,2022-05-04T22:01:32.000Z,0,0,0,0,0,0
7309745,57226,2022-05-04T22:02:32.000Z,0,0,0,0,0,0
7309777,57226,2022-05-04T22:03:32.000Z,0,0,0,0,0,0
7309809,57226,2022-05-04T22:04:32.000Z,0,0,0,0,0,0
7309841,57226,2022-05-04T22:05:32.000Z,0,0,0,0,0,0
7309873,57226,2022-05-04T22:06:32.000Z,0,0,0,0,0,0
7309905,57226,2022-05-04T22:07:32.000Z,0,0,0,0,0,0
7309937,57226,2022-05-04T22:08:32.000Z,0,0,0,0,0,0
7309969,57226,2022-05-04T22:09:32.000Z,0,0,0,0,0,0
7310001,57226,2022-05-04T22:10:33.000Z,0,0,0,0,0,0
7310033,57226,2022-05-04T22:11:33.000Z,0,0,0,0,0,0
7310065,57226,2022-05-04T22:12:33.000Z,0,0,0,0,0,0
7310097,57226,2022-05-04T22:13:33.000Z,0,0,0,0,0,0
7310129,57226,2022-05-04T22:14:33.000Z,0,0,0,0,0,0
7310161,57226,2022-05-04T22:15:33.000Z,0,0,0,0,0,0
