,id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9
26396,3795915,89776,2021-12-14 17:58:13,0,0,0,0,0,0,0,0,0,0
26397,3795935,89776,2021-12-14 17:59:13,0,0,0,0,0,0,0,0,0,0
26398,3795955,89776,2021-12-14 18:00:13,0,0,0,0,0,0,0,0,0,0
26399,3795975,89776,2021-12-14 18:01:13,0,0,0,0,0,0,0,0,0,0
26400,3795995,89776,2021-12-14 18:02:13,0,0,0,0,0,0,0,0,0,0
26401,3796015,89776,2021-12-14 18:03:13,0,0,0,0,0,0,0,0,0,0
26402,3796035,89776,2021-12-14 18:04:13,0,0,0,0,0,0,0,0,0,0
26403,3796055,89776,2021-12-14 18:05:13,0,0,0,0,0,0,0,0,0,0
26404,3796075,89776,2021-12-14 18:06:13,0,0,0,0,0,0,0,0,0,0
26405,3796095,89776,2021-12-14 18:07:13,0,0,0,0,0,0,0,0,0,0
26406,3796115,89776,2021-12-14 18:08:13,0,0,0,0,0,0,0,0,0,0
26407,3796135,89776,2021-12-14 18:09:13,0,0,0,0,0,0,0,0,0,0
26408,3796155,89776,2021-12-14 18:10:13,0,0,0,0,0,0,0,0,0,0
26409,3796175,89776,2021-12-14 18:11:13,0,0,0,0,0,0,0,0,0,0
26410,3796195,89776,2021-12-14 18:12:13,0,0,0,0,0,0,0,0,0,0
26411,3796215,89776,2021-12-14 18:13:13,0,0,0,0,0,0,0,0,0,0
26412,3796235,89776,2021-12-14 18:14:13,0,0,0,0,0,0,0,0,0,0
26413,3796255,89776,2021-12-14 18:15:13,0,0,0,0,0,0,0,0,0,0
26414,3796275,89776,2021-12-14 18:16:13,0,0,0,0,0,0,0,0,0,0
26415,3796295,89776,2021-12-14 18:17:13,0,0,0,0,0,0,0,0,0,0
26416,3796315,89776,2021-12-14 18:18:13,0,0,0,0,0,0,0,0,0,0
26417,3796335,89776,2021-12-14 18:19:13,0,0,0,0,0,0,0,0,0,0
26418,3796355,89776,2021-12-14 18:20:13,0,0,0,0,0,0,0,0,0,0
26419,3796375,89776,2021-12-14 18:21:13,0,0,0,0,0,0,0,0,0,0
26420,3796395,89776,2021-12-14 18:22:13,0,0,0,0,0,0,0,0,0,0
26421,3796423,89776,2021-12-14 18:23:13,0,0,0,0,0,0,0,0,0,0
26422,3796451,89776,2021-12-14 18:24:13,0,0,0,0,0,0,0,0,0,0
26423,3796479,89776,2021-12-14 18:25:13,0,0,0,0,0,0,0,0,0,0
26424,3796503,89776,2021-12-14 18:26:13,0,0,0,0,0,0,0,0,0,0
26425,3796531,89776,2021-12-14 18:27:13,0,0,0,0,0,0,0,0,0,0
26426,3796567,89776,2021-12-14 18:28:13,0,0,0,0,0,0,0,0,0,0
26427,3796587,89776,2021-12-14 18:29:13,0,0,0,0,0,0,0,0,0,0
26428,3796615,89776,2021-12-14 18:30:13,0,0,0,0,0,0,0,0,0,0
26429,3796643,89776,2021-12-14 18:31:13,0,0,0,0,0,0,0,0,0,0
26430,3796671,89776,2021-12-14 18:32:13,0,0,0,0,0,0,0,0,0,0
26431,3796699,89776,2021-12-14 18:33:13,0,0,0,0,0,0,0,0,0,0
26432,3796727,89776,2021-12-14 18:34:13,0,0,0,0,0,0,0,0,0,0
26433,3796755,89776,2021-12-14 18:35:13,0,0,0,0,0,0,0,0,0,0
26434,3796783,89776,2021-12-14 18:36:13,0,0,0,0,0,0,0,0,0,0
26435,3796811,89776,2021-12-14 18:37:13,0,0,0,0,0,0,0,0,0,0
26436,3796839,89776,2021-12-14 18:38:13,0,0,0,0,0,0,0,0,0,0
26437,3796867,89776,2021-12-14 18:39:13,0,0,0,0,0,0,0,0,0,0
26438,3796895,89776,2021-12-14 18:40:13,0,0,0,0,0,0,0,0,0,0
26439,3796923,89776,2021-12-14 18:41:13,0,0,0,0,0,0,0,0,0,0
26440,3796951,89776,2021-12-14 18:42:13,0,0,0,0,0,0,0,0,0,0
26441,3796979,89776,2021-12-14 18:43:13,0,0,0,0,0,0,0,0,0,0
26442,3797007,89776,2021-12-14 18:44:13,0,0,0,0,0,0,0,0,0,0
26443,3797035,89776,2021-12-14 18:45:13,0,0,0,0,0,0,0,0,0,0
26444,3797063,89776,2021-12-14 18:46:13,0,0,0,0,0,0,0,0,0,0
26445,3797091,89776,2021-12-14 18:47:13,0,0,0,0,0,0,0,0,0,0
26446,3797119,89776,2021-12-14 18:48:13,0,0,0,0,0,0,0,0,0,0
26447,3797147,89776,2021-12-14 18:49:13,0,0,0,0,0,0,0,0,0,0
26448,3797175,89776,2021-12-14 18:50:13,0,0,0,0,0,0,0,0,0,0
26449,3797203,89776,2021-12-14 18:51:13,0,0,0,0,0,0,0,0,0,0
26450,3797231,89776,2021-12-14 18:52:13,0,0,0,0,0,0,0,0,0,0
26451,3797259,89776,2021-12-14 18:53:13,0,0,0,0,0,0,0,0,0,0
26452,3797287,89776,2021-12-14 18:54:13,0,0,0,0,0,0,0,0,0,0
26453,3797315,89776,2021-12-14 18:55:13,0,0,0,0,0,0,0,0,0,0
26454,3797343,89776,2021-12-14 18:56:13,0,0,0,0,0,0,0,0,0,0
26455,3797371,89776,2021-12-14 18:57:13,0,0,0,0,0,0,0,0,0,0
26456,3797399,89776,2021-12-14 18:58:13,0,0,0,0,0,0,0,0,0,0
26457,3797427,89776,2021-12-14 18:59:13,0,0,0,0,0,0,0,0,0,0
26458,3797455,89776,2021-12-14 19:00:13,0,0,0,0,0,0,0,0,0,0
26459,3797483,89776,2021-12-14 19:01:13,0,0,0,0,0,0,0,0,0,0
26460,3797511,89776,2021-12-14 19:02:13,0,0,0,0,0,0,0,0,0,0
26461,3797539,89776,2021-12-14 19:03:13,0,0,0,0,0,0,0,0,0,0
26462,3797567,89776,2021-12-14 19:04:13,0,0,0,0,0,0,0,0,0,0
26463,3797595,89776,2021-12-14 19:05:13,0,0,0,0,0,0,0,0,0,0
26464,3797623,89776,2021-12-14 19:06:13,0,0,0,0,0,0,0,0,0,0
26465,3797651,89776,2021-12-14 19:07:13,0,0,0,0,0,0,0,0,0,0
26466,3797679,89776,2021-12-14 19:08:13,0,0,0,0,0,0,0,0,0,0
26467,3797707,89776,2021-12-14 19:09:13,0,0,0,0,0,0,0,0,0,0
26468,3797735,89776,2021-12-14 19:10:13,0,0,0,0,0,0,0,0,0,0
