id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9
4018197,89776,2021-12-21T15:11:42.000Z,0,0,0,0,0,0,0,0,0,0
4018217,89776,2021-12-21T15:12:42.000Z,0,0,0,0,0,0,0,0,0,0
4018237,89776,2021-12-21T15:13:42.000Z,0,0,0,0,0,0,0,0,0,0
4018257,89776,2021-12-21T15:14:42.000Z,0,0,0,0,0,0,0,0,0,0
4018277,89776,2021-12-21T15:15:42.000Z,0,0,0,0,0,0,0,0,0,0
4018297,89776,2021-12-21T15:16:42.000Z,0,0,0,0,0,0,0,0,0,0
4018317,89776,2021-12-21T15:17:42.000Z,0,0,0,0,0,0,0,0,0,0
4018337,89776,2021-12-21T15:18:42.000Z,0,0,0,0,0,0,0,0,0,0
4018357,89776,2021-12-21T15:19:42.000Z,0,0,0,0,0,0,0,0,0,0
4018377,89776,2021-12-21T15:20:42.000Z,0,0,0,0,0,0,0,0,0,0
4018397,89776,2021-12-21T15:21:43.000Z,0,0,0,0,0,0,0,0,0,0
4018417,89776,2021-12-21T15:22:43.000Z,0,0,0,0,0,0,0,0,0,0
4018437,89776,2021-12-21T15:23:43.000Z,0,0,0,0,0,0,0,0,0,0
4018457,89776,2021-12-21T15:24:43.000Z,0,0,0,0,0,0,0,0,0,0
4018477,89776,2021-12-21T15:25:43.000Z,0,0,0,0,0,0,0,0,0,0
4018497,89776,2021-12-21T15:26:43.000Z,0,0,0,0,0,0,0,0,0,0
4018517,89776,2021-12-21T15:27:43.000Z,0,0,0,0,0,0,0,0,0,0
4018537,89776,2021-12-21T15:28:43.000Z,0,0,0,0,0,0,0,0,0,0
4018557,89776,2021-12-21T15:29:43.000Z,0,0,0,0,0,0,0,0,0,0
4018577,89776,2021-12-21T15:30:43.000Z,0,0,0,0,0,0,0,0,0,0
4018597,89776,2021-12-21T15:31:43.000Z,0,0,0,0,0,0,0,0,0,0
4018617,89776,2021-12-21T15:32:43.000Z,0,0,0,0,0,0,0,0,0,0
4018637,89776,2021-12-21T15:33:43.000Z,0,0,0,0,0,0,0,0,0,0
4018657,89776,2021-12-21T15:34:43.000Z,0,0,0,0,0,0,0,0,0,0
4018677,89776,2021-12-21T15:35:43.000Z,0,0,0,0,0,0,0,0,0,0
4018697,89776,2021-12-21T15:36:43.000Z,0,0,0,0,0,0,0,0,0,0
4018717,89776,2021-12-21T15:37:43.000Z,0,0,0,0,0,0,0,0,0,0
4018737,89776,2021-12-21T15:38:43.000Z,0,0,0,0,0,0,0,0,0,0
4018757,89776,2021-12-21T15:39:43.000Z,0,0,0,0,0,0,0,0,0,0
4018777,89776,2021-12-21T15:40:43.000Z,0,0,0,0,0,0,0,0,0,0
4018797,89776,2021-12-21T15:41:43.000Z,0,0,0,0,0,0,0,0,0,0
4018817,89776,2021-12-21T15:42:43.000Z,0,0,0,0,0,0,0,0,0,0
4018837,89776,2021-12-21T15:43:43.000Z,0,0,0,0,0,0,0,0,0,0
4018857,89776,2021-12-21T15:44:43.000Z,0,0,0,0,0,0,0,0,0,0
4018877,89776,2021-12-21T15:45:43.000Z,0,0,0,0,0,0,0,0,0,0
4018897,89776,2021-12-21T15:46:43.000Z,0,0,0,0,0,0,0,0,0,0
4018917,89776,2021-12-21T15:47:43.000Z,0,0,0,0,0,0,0,0,0,0
4018937,89776,2021-12-21T15:48:43.000Z,0,0,0,0,0,0,0,0,0,0
4018957,89776,2021-12-21T15:49:43.000Z,0,0,0,0,0,0,0,0,0,0
4018977,89776,2021-12-21T15:50:43.000Z,0,0,0,0,0,0,0,0,0,0
4018997,89776,2021-12-21T15:51:43.000Z,0,0,0,0,0,0,0,0,0,0
4019017,89776,2021-12-21T15:52:43.000Z,0,0,0,0,0,0,0,0,0,0
4019037,89776,2021-12-21T15:53:43.000Z,0,0,0,0,0,0,0,0,0,0
4019057,89776,2021-12-21T15:54:43.000Z,0,0,0,0,0,0,0,0,0,0
4019077,89776,2021-12-21T15:55:43.000Z,0,0,0,0,0,0,0,0,0,0
4019097,89776,2021-12-21T15:56:43.000Z,0,0,0,0,0,0,0,0,0,0
4019117,89776,2021-12-21T15:57:43.000Z,0,0,0,0,0,0,0,0,0,0
4019137,89776,2021-12-21T15:58:43.000Z,0,0,0,0,0,0,0,0,0,0
4019157,89776,2021-12-21T15:59:43.000Z,0,0,0,0,0,0,0,0,0,0
4019177,89776,2021-12-21T16:00:43.000Z,0,0,0,0,0,0,0,0,0,0
4019197,89776,2021-12-21T16:01:43.000Z,0,0,0,0,0,0,0,0,0,0
4019217,89776,2021-12-21T16:02:43.000Z,0,0,0,0,0,0,0,0,0,0
4019237,89776,2021-12-21T16:03:43.000Z,0,0,0,0,0,0,0,0,0,0
4019257,89776,2021-12-21T16:04:43.000Z,0,0,0,0,0,0,0,0,0,0
4019277,89776,2021-12-21T16:05:43.000Z,0,0,0,0,0,0,0,0,0,0
4019297,89776,2021-12-21T16:06:43.000Z,0,0,0,0,0,0,0,0,0,0
4019317,89776,2021-12-21T16:07:43.000Z,0,0,0,0,0,0,0,0,0,0
4019337,89776,2021-12-21T16:08:43.000Z,0,0,0,0,0,0,0,0,0,0
4019357,89776,2021-12-21T16:09:43.000Z,0,0,0,0,0,0,0,0,0,0
4019377,89776,2021-12-21T16:10:43.000Z,0,0,0,0,0,0,0,0,0,0
4019397,89776,2021-12-21T16:11:43.000Z,0,0,0,0,0,0,0,0,0,0
4019417,89776,2021-12-21T16:12:43.000Z,0,0,0,0,0,0,0,0,0,0
4019437,89776,2021-12-21T16:13:43.000Z,0,0,0,0,0,0,0,0,0,0
4019457,89776,2021-12-21T16:14:43.000Z,0,0,0,0,0,0,0,0,0,0
4019477,89776,2021-12-21T16:15:43.000Z,0,0,0,0,0,0,0,0,0,0
4019497,89776,2021-12-21T16:16:43.000Z,0,0,0,0,0,0,0,0,0,0
4019517,89776,2021-12-21T16:17:43.000Z,0,0,0,0,0,0,0,0,0,0
4019537,89776,2021-12-21T16:18:43.000Z,0,0,0,0,0,0,0,0,0,0
4019557,89776,2021-12-21T16:19:43.000Z,0,0,0,0,0,0,0,0,0,0
4019577,89776,2021-12-21T16:20:43.000Z,0,0,0,0,0,0,0,0,0,0
4019597,89776,2021-12-21T16:21:43.000Z,0,0,0,0,0,0,0,0,0,0
4019617,89776,2021-12-21T16:22:43.000Z,0,0,0,0,0,0,0,0,0,0
4019637,89776,2021-12-21T16:23:43.000Z,0,0,0,0,0,0,0,0,0,0
4019657,89776,2021-12-21T16:24:43.000Z,0,0,0,0,0,0,0,0,0,0
4019677,89776,2021-12-21T16:25:43.000Z,0,0,0,0,0,0,0,0,0,0
4019697,89776,2021-12-21T16:26:43.000Z,0,0,0,0,0,0,0,0,0,0
4019717,89776,2021-12-21T16:27:43.000Z,0,0,0,0,0,0,0,0,0,0
4019737,89776,2021-12-21T16:28:43.000Z,0,0,0,0,0,0,0,0,0,0
4019757,89776,2021-12-21T16:29:43.000Z,0,0,0,0,0,0,0,0,0,0
4019777,89776,2021-12-21T16:30:43.000Z,0,0,0,0,0,0,0,0,0,0
4019797,89776,2021-12-21T16:31:43.000Z,0,0,0,0,0,0,0,0,0,0
4019817,89776,2021-12-21T16:32:43.000Z,0,0,0,0,0,0,0,0,0,0
4019837,89776,2021-12-21T16:33:43.000Z,0,0,0,0,0,0,0,0,0,0
4019857,89776,2021-12-21T16:34:43.000Z,0,0,0,0,0,0,0,0,0,0
4019877,89776,2021-12-21T16:35:43.000Z,0,0,0,0,0,0,0,0,0,0
4019897,89776,2021-12-21T16:36:43.000Z,0,0,0,0,0,0,0,0,0,0
4019917,89776,2021-12-21T16:37:43.000Z,0,0,0,0,0,0,0,0,0,0
4019937,89776,2021-12-21T16:38:43.000Z,0,0,0,0,0,0,0,0,0,0
4019957,89776,2021-12-21T16:39:43.000Z,0,0,0,0,0,0,0,0,0,0
4019977,89776,2021-12-21T16:40:43.000Z,0,0,0,0,0,0,0,0,0,0
4019997,89776,2021-12-21T16:41:43.000Z,0,0,0,0,0,0,0,0,0,0
4020017,89776,2021-12-21T16:42:43.000Z,0,0,0,0,0,0,0,0,0,0
4020037,89776,2021-12-21T16:43:43.000Z,0,0,0,0,0,0,0,0,0,0
4020057,89776,2021-12-21T16:44:43.000Z,0,0,0,0,0,0,0,0,0,0
4020077,89776,2021-12-21T16:45:43.000Z,0,0,0,0,0,0,0,0,0,0
4020097,89776,2021-12-21T16:46:43.000Z,0,0,0,0,0,0,0,0,0,0
4020117,89776,2021-12-21T16:47:43.000Z,0,0,0,0,0,0,0,0,0,0
4020137,89776,2021-12-21T16:48:43.000Z,0,0,0,0,0,0,0,0,0,0
4020157,89776,2021-12-21T16:49:43.000Z,0,0,0,0,0,0,0,0,0,0
4020177,89776,2021-12-21T16:50:43.000Z,0,0,0,0,0,0,0,0,0,0
4020197,89776,2021-12-21T16:51:43.000Z,0,0,0,0,0,0,0,0,0,0
4020217,89776,2021-12-21T16:52:43.000Z,0,0,0,0,0,0,0,0,0,0
4020237,89776,2021-12-21T16:53:43.000Z,0,0,0,0,0,0,0,0,0,0
4020257,89776,2021-12-21T16:54:43.000Z,0,0,0,0,0,0,0,0,0,0
4020277,89776,2021-12-21T16:55:43.000Z,0,0,0,0,0,0,0,0,0,0
4020297,89776,2021-12-21T16:56:43.000Z,0,0,0,0,0,0,0,0,0,0
4020317,89776,2021-12-21T16:57:43.000Z,0,0,0,0,0,0,0,0,0,0
4020337,89776,2021-12-21T16:58:43.000Z,0,0,0,0,0,0,0,0,0,0
4020357,89776,2021-12-21T16:59:43.000Z,0,0,0,0,0,0,0,0,0,0
4020377,89776,2021-12-21T17:00:43.000Z,0,0,0,0,0,0,0,0,0,0
4020397,89776,2021-12-21T17:01:43.000Z,0,0,0,0,0,0,0,0,0,0
4020417,89776,2021-12-21T17:02:43.000Z,0,0,0,0,0,0,0,0,0,0
4020437,89776,2021-12-21T17:03:43.000Z,0,0,0,0,0,0,0,0,0,0
4020457,89776,2021-12-21T17:04:43.000Z,0,0,0,0,0,0,0,0,0,0
4020477,89776,2021-12-21T17:05:43.000Z,0,0,0,0,0,0,0,0,0,0
4020497,89776,2021-12-21T17:06:43.000Z,0,0,0,0,0,0,0,0,0,0
4020517,89776,2021-12-21T17:07:43.000Z,0,0,0,0,0,0,0,0,0,0
4020537,89776,2021-12-21T17:08:43.000Z,0,0,0,0,0,0,0,0,0,0
4020557,89776,2021-12-21T17:09:43.000Z,0,0,0,0,0,0,0,0,0,0
4020577,89776,2021-12-21T17:10:43.000Z,0,0,0,0,0,0,0,0,0,0
4020597,89776,2021-12-21T17:11:43.000Z,0,0,0,0,0,0,0,0,0,0
4020617,89776,2021-12-21T17:12:43.000Z,0,0,0,0,0,0,0,0,0,0
4020637,89776,2021-12-21T17:13:43.000Z,0,0,0,0,0,0,0,0,0,0
4020657,89776,2021-12-21T17:14:43.000Z,0,0,0,0,0,0,0,0,0,0
4020677,89776,2021-12-21T17:15:43.000Z,0,0,0,0,0,0,0,0,0,0
4020697,89776,2021-12-21T17:16:43.000Z,0,0,0,0,0,0,0,0,0,0
4020717,89776,2021-12-21T17:17:43.000Z,0,0,0,0,0,0,0,0,0,0
4020737,89776,2021-12-21T17:18:43.000Z,0,0,0,0,0,0,0,0,0,0
4020757,89776,2021-12-21T17:19:43.000Z,0,0,0,0,0,0,0,0,0,0
4020777,89776,2021-12-21T17:20:43.000Z,0,0,0,0,0,0,0,0,0,0
4020797,89776,2021-12-21T17:21:43.000Z,0,0,0,0,0,0,0,0,0,0
4020817,89776,2021-12-21T17:22:43.000Z,0,0,0,0,0,0,0,0,0,0
4020837,89776,2021-12-21T17:23:43.000Z,0,0,0,0,0,0,0,0,0,0
4020857,89776,2021-12-21T17:24:43.000Z,0,0,0,0,0,0,0,0,0,0
4020877,89776,2021-12-21T17:25:43.000Z,0,0,0,0,0,0,0,0,0,0
4020897,89776,2021-12-21T17:26:43.000Z,0,0,0,0,0,0,0,0,0,0
4020917,89776,2021-12-21T17:27:43.000Z,0,0,0,0,0,0,0,0,0,0
4020937,89776,2021-12-21T17:28:43.000Z,0,0,0,0,0,0,0,0,0,0
4020957,89776,2021-12-21T17:29:43.000Z,0,0,0,0,0,0,0,0,0,0
4020977,89776,2021-12-21T17:30:43.000Z,0,0,0,0,0,0,0,0,0,0
