Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons
201204,78723,Irrigation - Multi-Family,129000
201204,78723,Multi-Family,19670700
201204,78723,Residential,33819500
201204,78724,Irrigation - Residential,32000
201204,78724,Multi-Family,10912100
201204,78724,Residential,19120700
201204,78724,Irrigation - Multi-Family,
201204,78725,Multi-Family,255900
201204,78725,Residential,2099200
201204,78726,Residential,16862400
201204,78726,Irrigation - Residential,32100
201204,78726,Irrigation - Multi-Family,2657700
201204,78726,Multi-Family,11272400
201204,78727,Irrigation - Multi-Family,3482000
201204,78727,Multi-Family,19733400
201204,78727,Irrigation - Residential,5600
201204,78727,Residential,37528200
201204,78728,Residential,4507800
201204,78728,Irrigation - Multi-Family,865000
201204,78728,Multi-Family,6612100
201204,78729,Residential,20768500
201204,78729,Irrigation - Residential,1800
201204,78729,Multi-Family,21898400
201204,78729,Irrigation - Multi-Family,1615200
201204,78730,Irrigation - Residential,152600
201204,78730,Irrigation - Multi-Family,1550400
201204,78730,Residential,7678500
201204,78730,Multi-Family,4138100
201204,78731,Multi-Family,18366900
201204,78731,Irrigation - Multi-Family,485000
201204,78731,Residential,57446900
201204,78731,Irrigation - Residential,321800
201204,78732,Residential,4400
201204,78733,Residential,28800
201204,78735,Residential,22963500
201204,78735,Irrigation - Multi-Family,1026000
201204,78735,Multi-Family,9834000
201204,78736,Multi-Family,2132600
201204,78736,Irrigation - Multi-Family,174800
201204,78736,Irrigation - Residential,13900
201204,78736,Residential,13013100
201204,78737,Irrigation - Residential,2700
201204,78737,Residential,5424200
201204,78738,Residential,7400
201204,78739,Irrigation - Residential,
201204,78739,Residential,34892000
201204,78741,Multi-Family,76021300
201204,78741,Irrigation - Residential,4300
201204,78741,Irrigation - Multi-Family,1590900
201204,78741,Residential,17964489
201204,78742,Multi-Family,781800
201204,78742,Residential,507500
201204,78744,Irrigation - Residential,500
201204,78744,Multi-Family,21669700
201204,78744,Residential,48425600
201204,78744,Irrigation - Multi-Family,231400
201204,78745,Multi-Family,27645700
201204,78745,Irrigation - Multi-Family,1525200
201204,78745,Residential,72753500
201204,78745,Irrigation - Residential,27000
201204,78746,Irrigation - Multi-Family,614800
201204,78746,Residential,29137600
201204,78746,Multi-Family,11485800
201204,78746,Irrigation - Residential,282000
201204,78747,Irrigation - Residential,70800
201204,78747,Multi-Family,6711000
201204,78747,Irrigation - Multi-Family,430600
201204,78747,Residential,21076600
201204,78748,Irrigation - Multi-Family,2148900
201204,78748,Multi-Family,14419500
201204,78748,Irrigation - Residential,2000
201204,78748,Residential,64348400
201204,78749,Multi-Family,15889100
201204,78749,Irrigation - Multi-Family,2882600
201204,78749,Residential,63918100
201204,78749,Irrigation - Residential,3500
201204,78750,Irrigation - Multi-Family,1042200
201204,78750,Multi-Family,12680800
201204,78750,Irrigation - Residential,19800
201204,78750,Residential,53511900
201204,78751,Irrigation - Multi-Family,316300
201204,78751,Residential,15286900
201204,78751,Multi-Family,12612100
201204,78751,Irrigation - Residential,57500
201204,78752,Multi-Family,17829300
201204,78752,Irrigation - Multi-Family,56700
201204,78752,Residential,12245200
201204,78753,Irrigation - Multi-Family,2310900
201204,78753,Multi-Family,42015100
201204,78753,Residential,42246200
201204,78753,Irrigation - Residential,
201204,78754,Multi-Family,12761300
201204,78754,Irrigation - Multi-Family,1253300
201204,78754,Residential,20599300
201204,78754,Irrigation - Residential,
201204,78756,Irrigation - Multi-Family,62500
201204,78756,Residential,10648700
201204,78756,Irrigation - Residential,7200
201204,78756,Multi-Family,6533100
201204,78757,Multi-Family,13647700
201204,78757,Irrigation - Residential,59400
201204,78757,Irrigation - Multi-Family,43700
201204,78757,Residential,32413000
201204,78758,Irrigation - Multi-Family,1756600
201204,78758,Irrigation - Residential,2500
201204,78758,Multi-Family,47059900
201204,78758,Residential,41702800
201204,78759,Irrigation - Multi-Family,459000
201204,78759,Irrigation - Residential,63600
201204,78759,Residential,62767900
201204,78759,Multi-Family,32642200
201205,78613,Irrigation - Multi-Family,58000
201205,78613,Multi-Family,18500
201205,78617,Multi-Family,2784900
201205,78617,Residential,21137300
201205,78652,Irrigation - Residential,47200
201205,78652,Multi-Family,19400
201205,78652,Residential,908900
201205,78653,Multi-Family,171800
201205,78653,Residential,2270800
201205,78660,Irrigation - Residential,14200
201205,78660,Residential,8768400
201205,78660,Multi-Family,4127300
201205,78701,Multi-Family,12628400
201205,78701,Irrigation - Multi-Family,239900
201205,78701,Residential,1404000
201205,78702,Irrigation - Residential,33500
201205,78702,Residential,29290800
201205,78702,Multi-Family,8849900
201205,78702,Irrigation - Multi-Family,667300
201205,78703,Irrigation - Residential,1701700
201205,78703,Residential,65578700
201205,78703,Multi-Family,15141400
201205,78703,Irrigation - Multi-Family,588100
201205,78704,Irrigation - Multi-Family,1991800
201205,78704,Irrigation - Residential,258400
201205,78704,Multi-Family,49476300
201205,78704,Residential,55223600
201205,78705,Irrigation - Multi-Family,459500
201205,78705,Multi-Family,32127200
201205,78705,Residential,12254200
201205,78705,Irrigation - Residential,81700
201205,78717,Multi-Family,6877800
201205,78717,Residential,43627000
201205,78717,Irrigation - Multi-Family,2901000
201205,78717,Irrigation - Residential,19400
201205,78719,Multi-Family,583300
201205,78719,Residential,1830400
201205,78721,Irrigation - Multi-Family,235000
201205,78721,Irrigation - Residential,8000
201205,78721,Multi-Family,4599200
201205,78721,Residential,16297400
201205,78722,Irrigation - Multi-Family,44500
201205,78722,Multi-Family,3064500
201205,78722,Residential,10681900
201205,78723,Irrigation - Multi-Family,128000
201205,78723,Multi-Family,19932400
201205,78723,Residential,39479500
201205,78724,Residential,21472700
201205,78724,Multi-Family,11055900
201205,78724,Irrigation - Multi-Family,35600
201205,78724,Irrigation - Residential,34300
201205,78725,Residential,2378900
201205,78725,Multi-Family,280100
201205,78726,Irrigation - Multi-Family,3665800
201205,78726,Residential,26270000
201205,78726,Irrigation - Residential,85100
201205,78726,Multi-Family,11411400
201205,78727,Irrigation - Multi-Family,4743500
201205,78727,Irrigation - Residential,7900
201205,78727,Multi-Family,19635600
201205,78727,Residential,53116900
201205,78728,Multi-Family,7424200
201205,78728,Residential,5035000
201205,78728,Irrigation - Multi-Family,1627700
201205,78729,Irrigation - Multi-Family,2387900
201205,78729,Irrigation - Residential,27400
201205,78729,Multi-Family,22862000
201205,78729,Residential,28412500
201205,78730,Irrigation - Residential,207800
201205,78730,Residential,21571200
201205,78730,Irrigation - Multi-Family,2469700
201205,78730,Multi-Family,4379100
201205,78731,Irrigation - Multi-Family,973200
201205,78731,Multi-Family,19655600
201205,78731,Residential,85318700
201205,78731,Irrigation - Residential,531000
201205,78732,Residential,6000
201205,78733,Residential,46200
201205,78735,Multi-Family,10388000
201205,78735,Irrigation - Multi-Family,1693000
201205,78735,Residential,29950400
201205,78736,Irrigation - Multi-Family,196900
201205,78736,Residential,17434900
201205,78736,Irrigation - Residential,19100
201205,78736,Multi-Family,2169800
201205,78737,Irrigation - Residential,5700
201205,78737,Residential,9284600
201205,78738,Residential,9700
201205,78739,Irrigation - Residential,
201205,78739,Residential,61971900
201205,78741,Multi-Family,84210200
201205,78741,Residential,21334068
201205,78741,Irrigation - Multi-Family,3260100
201205,78741,Irrigation - Residential,20900
201205,78742,Multi-Family,363000
201205,78742,Residential,693800
201205,78744,Irrigation - Multi-Family,1091800
201205,78744,Irrigation - Residential,1400
201205,78744,Multi-Family,24781900
201205,78744,Residential,56049800
201205,78745,Irrigation - Multi-Family,2973900
201205,78745,Irrigation - Residential,70000
201205,78745,Residential,90522200
201205,78745,Multi-Family,33154100
201205,78746,Irrigation - Multi-Family,781200
201205,78746,Multi-Family,13200400
201205,78746,Irrigation - Residential,426200
201205,78746,Residential,47822800
