ID,Consumer,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,Media_01,Media_02,Media_03,Media_04,Media_05,Media_06,Media_07,Media_08,Media_09,Media_10,Media_11,Media_12,,
121,Multi-Family,18076500,13997100,17588100,15889100,16355600,17702200,17553400,18204700,16977000,17613700,18711800,15602200,18412600,15373700,15529600,15925800,16981000,16824900,17767600,18156200,17700500,17520800,17358900,17348000,20268300,17234500,16332400,17458400,17879000,18399800,18507600,17975700,19373200,18552700,16738500,17142500,19213600,15967200,17049900,16886100,16580700,18352000,19633400,18958700,20975300,18948600,17656600,17687100,18459300,16779100,17421900,17289600,16342900,18848000,18119100,18432400,19490300,16750000,17819400,17747200,18298300,15671900,17199000,17131400,17269400,19841200,18627900,18638700,19535500,9562200,18788100,15837250,16853483.33,16763400,16901433.33,18328016.67,18368166.67,18394400,19008633.33,16491333.33,17845550,16894041.67,,
122,Irrigation - Multi-Family,2585200,3005300,3717400,2882600,5268500,9308600,8898700,9498200,9557700,8270600,6687400,4978800,3762900,3130400,3091000,3017900,3192500,4390200,6505300,7967500,7181200,6006700,4389900,1983600,1801100,1070400,1573800,3617100,5630700,5729800,5578500,6839100,8485000,7833500,4904900,3101000,1527700,1115900,1774100,2252700,4028500,2929000,4735900,7217100,12051300,10081900,5941300,3489200,1902400,2290300,2778100,2402700,3230100,3280600,8453800,8994900,6188600,6281900,5759200,3847400,1929700,1616800,2286600,2515000,3870100,5597000,6542200,7373900,7308500,2468700,2251500,2038183.333,2536833.333,2781333.333,4203400,5205866.667,6785733.333,7981783.333,8462050,6823883.333,4989033.333,3239697.222,,
123,Residential,56875700,0,53199200,63918100,89234200,105830400,114972900,115215900,123328400,74356200,76057700,71282200,59944300,51913600,60228700,64474100,70944800,81700800,111922500,101252700,100563000,65048100,52719400,48701200,53301700,46401500,46793000,58456800,72069200,69986200,84900600,101802500,106664400,61158300,65370000,48180100,50902800,41644600,44691900,50074600,50280200,51962700,63027700,114475200,106828200,87802900,58014000,47541900,48299600,45869600,50926900,53710600,46406400,50582000,94241500,93926700,65093500,68896000,61649300,48936600,49327300,40519800,47162500,49712000,62944300,66798000,91641900,100385800,78143200,28474200,53108566.67,37724850,50500366.67,56724366.67,65313183.33,71143350,93451183.33,104509800,96770116.67,64289283.33,61153161.11,50394475,,
124,Irrigation - Residential,17300,1300,1300,3500,7600,11900,18600,33000,33900,40100,37300,41200,11200,5800,19700,43500,40700,66400,58300,38200,27900,26800,25900,3100,3300,2100,3100,2600,9900,22700,25500,25600,58000,26600,42800,44200,22000,15800,20400,29300,30600,24300,24600,35500,35400,30500,29900,27100,30400,22700,23200,30500,62600,46000,47000,64400,46800,24600,28600,39000,37100,20400,16300,18200,23000,29400,30400,36100,34800,30100,20216.66667,11350,14000,21266.66667,29066.66667,33450,34066.66667,38800,39466.66667,29783.33333,30786.11111,27658.33333,,
125,Multi-Family,18043000,12238500,13470100,12680800,15307000,15610200,14976200,16921300,16605600,15450300,15505500,13450000,14998800,13388100,13614200,14718700,15532500,15334400,16279600,16468300,17187000,15488300,14692600,14799900,15503200,13507500,12873700,14449300,14809200,15064500,15344000,17402100,14525100,16776100,15538900,14822000,16711300,13978300,17565500,15368400,13891700,16882800,16370200,17547800,17815100,17109300,15536600,15979300,15068000,12980400,14876200,15430200,15311100,15324500,17010000,16783700,17290000,14453300,16730200,14154900,15381200,13705000,15973100,14423900,16022100,16377600,15325200,18695800,16709400,2192800,15950916.67,13299633.33,14728800,14511883.33,15145600,15765666.67,15884200,17303166.67,16688700,13578350,15659119.44,14417622.22,,
126,Irrigation - Multi-Family,368600,432000,556300,1042200,1809900,2529700,3359400,3187800,4693300,2464400,2413100,1899400,846400,999200,1206700,1824000,2012700,1998000,2701700,2908900,3153100,2390400,1510000,1166000,516800,342200,366700,938700,1400400,2121000,1758500,2587500,2635700,1933700,1950600,1024800,874000,617300,750700,953400,1053900,1128300,1796400,2397700,3498800,2025600,1379100,673200,422100,451400,535200,1380800,740600,1617700,2387500,3330700,2062000,2278200,1178400,885200,717400,561700,922900,1234900,1747000,1582800,2160900,2933700,2801200,1211200,624216.6667,567300,723083.3333,1229000,1460750,1829583.333,2360733.333,2891050,3140683.333,2050583.333,1509236.111,1035983.333,,
127,Residential,44272900,36926400,39764200,53511900,73753000,92646100,95560300,98103700,101807200,67365100,66728200,59179500,51039400,41081400,48898900,54399000,60510400,66137600,83959800,88447200,94515400,63206500,45104100,39951400,42838100,39456100,38333300,49699600,63733300,62273400,67911100,82928100,88017400,57879400,56127200,40181700,42023100,33597100,50221000,44715900,39513100,45787000,71800900,105163600,91619500,80228500,41255100,36455200,38681100,41385200,42912300,42232800,40114000,55451200,81590100,70056400,60706200,63763500,47592600,39768000,38771700,33634500,41565200,44734000,59861600,64175900,90355200,80762000,65498700,9092900,42937716.67,37680116.67,43615816.67,48215533.33,56247566.67,64411866.67,81862900,87576833.33,83694066.67,56922650,49957486.11,42202652.78,,
128,Irrigation - Residential,0,0,0,19800,13700,31600,35100,30800,55400,18700,4900,15200,2000,0,13700,33600,24000,22500,26600,37600,48200,44800,22000,300,100,0,13100,20400,46300,34500,34500,37400,53500,19800,2800,0,0,0,1200,28800,3600,0,66200,80800,49300,20700,0,100,200,10600,12600,10500,8300,25700,113100,89400,27400,32000,13200,7300,5600,5600,9300,30400,49300,39000,80400,52000,49200,0,1316.666667,2700,8316.666667,23916.66667,24200,25550,59316.66667,54666.66667,47166.66667,22666.66667,7369.444444,4266.666667,,
129,Multi-Family,12587400,12466800,13183600,12612100,13754600,12988200,13220300,12828300,13824000,13844700,13679700,12991900,11989100,12229200,11988300,12621000,13460600,12221200,12471500,12429400,13194000,12418000,12243300,11619100,11745900,11468600,11018100,11918400,12297300,11038000,11180600,10870600,12985400,11167100,12742700,12057200,11893700,11299800,12647300,12381400,12121100,12186000,12923400,12353100,13137800,12236200,12565400,11942100,11203500,11475400,12136800,12053200,11054500,12654100,11806900,11858500,13376800,12580500,12896100,13499100,12599900,11563400,12975100,12438800,12711400,13784600,12409100,11324800,14588600,8395400,12003250,11750533.33,12324866.67,12337483.33,12566583.33,12478683.33,12335300,11944116.67,13517766.67,11773650,12688408.33,12309988.89,,
130,Irrigation - Multi-Family,229600,248800,249000,316300,314400,321200,952100,379700,793300,492700,551600,435000,249400,230200,264300,362400,602300,511400,562600,612200,557600,569300,508400,418500,203000,206500,425600,472800,719800,987000,940000,880800,1140900,806400,513200,264900,443500,362600,340600,397100,360300,584500,821600,764400,669700,710000,397200,410800,348600,333100,406500,442100,507200,730800,1038200,842900,1180600,908600,800900,668100,530700,410900,422700,488400,664000,795400,649800,737800,626900,489600,334133.3333,298683.3333,351450,413183.3333,528000,655050,827383.3333,702966.6667,828166.6667,662766.6667,517572.2222,415997.2222,,
131,Residential,14855700,13825200,14879000,15286900,18243900,19945800,21895500,21626300,22672900,17682400,17895000,17645900,16757100,14984700,15631500,16351400,17367000,17397600,20005800,19750900,21988700,17169500,15315600,14433600,15663600,14236600,14086100,15510700,17153300,16065400,17062000,17744300,20689900,15397800,16414400,14008900,14964100,12493300,13114500,13612100,13761500,13430000,15693300,20225300,20846300,18877400,16054900,14091300,13899900,13384900,14871800,14652400,13397700,14354500,17130000,18551400,16960100,16721400,16199600,14409400,14606700,12877000,13964900,14552000,15581300,16180500,18788700,18936000,19248300,10305800,15124516.67,13633616.67,14424633.33,14994250,15917450,16228966.67,18429216.67,19472366.67,20401033.33,16025716.67,16167336.11,14703786.11,,
132,Irrigation - Residential,41000,51600,42200,57500,122400,86600,132400,157600,171200,80200,97800,80900,68500,27700,54400,81800,97600,81700,130500,123500,163900,88400,36900,41900,51400,34400,36400,68900,80500,76300,99900,99400,157100,90900,94300,36900,19400,9700,25700,41900,61000,40400,112600,171800,145700,98900,109600,11400,30500,56200,48400,46700,21500,29700,85500,151200,91700,117500,96300,45200,52400,25600,18000,24800,67200,99800,134400,173900,178800,72000,43866.66667,34200,37516.66667,53600,75033.33333,69083.33333,115883.3333,146233.3333,151400,91316.66667,79794.44444,41750,,
133,Multi-Family,19677900,17356700,18839300,17829300,18550200,19613700,19298700,21378600,16221500,16067600,18622600,17589300,20296900,16389600,16485400,16804100,19283900,17633500,18540600,18958500,18648400,18540700,18322400,17364400,19887800,17407200,17610700,16727700,17215400,18036300,18318300,18510500,18740400,17566500,17947800,17220400,20098300,16271800,17482900,17001500,16909900,17271500,17687100,17162600,17439000,16805100,16339500,16441000,17859700,15856600,16969200,16788000,15889200,17602600,17213900,17041600,17507900,16714500,15426800,16727400,17544600,14245200,16722400,16624800,15669800,16896800,18687300,17553600,17665000,7398900,19227533.33,16254516.67,17351650,16962566.67,17253066.67,17842400,18290983.33,18434233.33,17703700,15515550,17647772.22,16932836.11,,
134,Irrigation - Multi-Family,52800,49200,52900,56700,68200,19500,38500,140900,72800,21500,14100,34000,38400,8700,12000,19200,76400,106400,78300,74600,74100,41000,22400,25000,13500,5600,7400,21300,49100,52100,62000,57900,108600,36200,26400,42300,31400,30500,29200,27100,19400,38600,50900,80300,162000,118800,26600,108500,20700,21300,36800,38500,40900,53700,91400,92100,97700,72000,54900,13500,12100,14800,30700,41100,53400,82500,75200,80000,92100,63600,28150,21683.33333,28166.66667,33983.33333,51233.33333,58800,66050,87633.33333,101216.6667,58850,28758.33333,40830.55556,,
135,Residential,12420600,11475100,11916600,12245200,14668200,15754025,18050275,17882300,17198400,13093500,13772800,13691600,13563900,11823500,11977900,12365900,13430100,13914200,16188700,15813600,16642600,12427600,11947700,11321700,12550500,11228300,10974900,11972800,12888800,12599900,14060400,13897700,16067700,11894400,12231600,10680900,12140300,10229900,10582800,11338300,11353700,10883400,11933600,15905900,15305000,13740200,11971900,10508300,12117400,10345600,11432000,11855900,11002700,11290200,13915500,14282900,12935800,12098500,11430100,11062600,11375900,10001600,10619300,11201000,11183600,12215000,14157200,14046700,13719600,11362900,12361433.33,10850666.67,11250583.33,11829850,12421183.33,12776120.83,14717612.5,15304850,15311516.67,12436183.33,12285922.22,11352627.78,,
136,Irrigation - Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,700,100,0,0,0,0,0,0,0,200,116.6666667,16.66666667,0,0,,
137,Multi-Family,50151200,39847000,43224900,42015100,44513000,48993900,49740200,49136000,48226800,49360800,47861200,43725400,50058500,41205000,43557500,41581400,46644700,46462600,48705200,48285700,50117500,49090500,46928900,46112600,53908900,42980600,43436100,46213800,46945700,49933800,51119800,52792400,52922900,46066100,50195200,47800400,54085000,44430200,46528200,47538900,47029600,52088600,56577500,52724400,54855400,49559700,45689100,51564500,54948100,48696900,50066600,50018700,48553300,54299900,51666800,51762300,53433800,49199400,49569600,52841500,53833700,43513000,49938700,46012900,47184600,53822900,50634600,53494000,53733200,0,52830900,43445450,46125333.33,45563466.67,46811816.67,50933616.67,51407350,51365800,52214933.33,40546083.33,48845816.67,47581641.67,,
138,Irrigation - Multi-Family,1964300,1936300,2237200,2310900,3530900,5455400,5827900,9014500,6761700,5465200,4829400,3796700,3312400,2976700,3799000,4184800,4770700,5440000,6391700,6498800,5548000,4670500,3309100,1655900,1774800,999300,2469600,3899000,4653100,4215000,4957900,5366900,5969700,4813900,3671400,2799200,2319700,668300,874700,2207600,2438400,2875600,3877800,6217300,7102300,6722900,3927100,2311800,1977800,1547100,2267400,2749800,2920600,4103300,6722800,6403200,5863700,6270300,5087600,3185200,1775000,1982500,2912400,3358000,4442500,5511500,5263200,5833400,7027400,0,2187333.333,1685033.333,2426716.667,3118350,3792700,4600133.333,5506883.333,6555683.333,6378800,4657133.333,3835322.222,2572305.556,,
139,Residential,41031200,34002100,39024200,42246200,47957500,58806900,55951800,64039900,51246800,43977900,43294900,39716400,43263900,35929600,39434100,41603400,45116800,47665000,57034900,54960100,54471100,40582800,35521600,35968600,42359400,33291500,34637900,39709200,43087700,43534600,47989500,54396700,48096800,39258200,38677400,36271500,41004400,32064000,34678000,36007200,34913800,38826100,46920000,59592300,49553900,46456300,33281200,37196000,38351600,35466700,36142400,36493700,35320300,43045300,53047400,48233400,41071200,39968900,37985900,36264200,39298200,31559800,36387900,36122600,40825900,43070400,50344200,47880300,45087300,96600,40884783.33,33718950,36717416.67,38697050,41203666.67,45824716.67,51881300,54850450,48254516.67,35056783.33,38274297.22,36522608.33,,
140,Irrigation - Residential,0,0,0,0,0,200,2600,22300,10400,1000,7700,3000,4100,1800,2400,2700,7400,8200,28400,10700,20100,2600,1600,1700,1700,1200,3100,1800,2100,4000,8500,2700,9100,1800,1600,1800,2600,1300,1900,2400,2300,3100,2700,13800,26100,3400,2800,1900,1800,1800,4400,3700,1700,2600,6500,17000,2000,1900,8900,1500,1600,1600,1400,2000,800,100,12500,20800,2700,0,1966.666667,1283.333333,2200,2100,2383.333333,3033.333333,10200,14550,11733.33333,1783.333333,4094.444444,1863.888889,,
141,Multi-Family,17206000,12430300,13797100,12761300,15432900,15746500,15652500,15932300,16346800,15158400,15416400,14744800,16072700,14190800,14815400,13638700,14258700,15767500,17015200,17158300,16948200,15293700,14416600,13643500,15854800,13061100,12645900,14166600,14806700,16625400,16343100,17236900,17380500,15390400,16548200,14338800,16758600,13712100,14248800,14461000,15213900,14203400,16266200,16138700,17294700,17405200,16053500,14291500,17342400,14964600,15774300,16407500,15028200,17708500,16513700,18172300,18750200,16906200,15884600,17537000,17558200,14197900,16875200,15421600,15561600,18698100,17793900,17713400,18865400,3328400,16798783.33,13759466.67,14692783.33,14476116.67,15050333.33,16458233.33,16597433.33,17058650,17597633.33,13913716.67,15853013.89,14719177.78,,
142,Irrigation - Multi-Family,2200300,899400,909700,1253300,1530500,2150100,2686000,3485500,2678100,2828400,2639700,2442300,1327200,1367700,1843000,1668000,1926600,2229600,2752400,2624600,2070500,2262100,2131200,1097300,795900,457700,1336400,1682400,2093400,1918900,2179300,2086300,2127600,1606600,1615100,694200,749900,920000,249700,1751000,3256500,2424200,3616800,3154800,4846200,4040500,2752700,2019000,1866900,1579700,1476500,2078700,2062200,2870500,3991400,3877400,4146800,3095500,2443400,2176200,1110600,1350700,1766600,1078400,1576800,2806900,3367500,3710800,4187500,200,1341800,1095866.667,1263650,1585300,2074333.333,2400033.333,3098900,3156566.667,3342783.333,2305550,2153983.333,1587477.778,,
143,Residential,18794200,15076500,17006300,20599300,23885000,29432400,29746100,33366400,27157900,22598900,21641500,19450800,20647000,16399700,18369800,20982800,22206400,23217800,29048100,28207700,28106000,21146500,17799100,17287100,20022000,16458400,17121600,20061000,22483400,22780900,24814300,29067200,26422200,21315100,20699300,18280700,22054900,16292300,17462300,19182300,17257800,19937200,25053400,34047900,28727300,26420100,18550100,19652600,19538100,18974300,19382200,19395600,18366600,22728000,29710000,27054600,22718200,22225600,20213400,18492800,20471300,16768900,19000100,19882000,23166800,24465800,29893800,26104300,28918500,1208800,20254583.33,16661683.33,18057050,20017166.67,21227666.67,23760350,28044283.33,29641350,27008350,19152500,19859663.89,18304280.56,,
144,Irrigation - Residential,36900,0,0,0,0,0,0,0,0,0,0,0,0,0,800,14900,3000,4800,5200,1700,200,3100,9200,5700,26200,28500,11300,14800,17100,19100,21800,18600,13500,27900,24800,20500,21100,8400,11100,10900,8600,14500,23000,29300,33600,30400,20100,23100,21300,22400,19300,14300,27500,24100,31700,31800,32300,35300,29800,31200,27400,11600,15200,13500,35200,61500,31500,24700,48000,0,22150,11816.66667,9616.666667,11400,15233.33333,20666.66667,18866.66667,17683.33333,21266.66667,16116.66667,17675,15386.11111,,
145,Multi-Family,6696500,6432100,6668700,6533100,6828800,6748200,7408200,7121800,6998800,7143200,6961300,6472400,7253900,6265000,6327100,6389200,6608900,6973700,6767300,6994000,6760700,6730700,6575200,6178100,7145100,6442700,6469600,7346900,6598700,6664200,7196400,6649700,7594300,6273000,6891600,6553400,6872800,6139500,6721900,6389600,6070800,6105800,7144200,7208300,7861300,7305600,6621500,6730600,6575000,6534800,6690800,7087700,6483000,7251400,7155100,7452700,7303500,6956100,6841200,6693800,6646400,6198300,6769100,6369600,6555900,6810300,7291200,5542800,9503200,3263000,6864950,6335400,6607866.667,6686016.667,6524350,6758933.333,7160400,6828216.667,7670300,6278600,6792625,6493950,,
146,Irrigation - Multi-Family,84100,83300,55800,62500,69000,129000,170800,265600,250700,102000,151900,153800,79600,88300,89500,77900,195200,261300,237500,153100,189800,165600,90000,49300,58700,24100,23500,40700,75600,82600,284900,336100,558600,544100,344500,301400,283800,164900,122300,199300,251000,340800,351800,938300,816600,456400,144600,160800,67700,115700,147000,249000,369200,386000,462300,578000,321600,396700,431400,405700,164300,108000,155900,314700,653000,748000,796700,919100,851700,102100,123033.3333,97383.33333,99000,157350,268833.3333,324616.6667,384000,531700,498166.6667,294483.3333,214238.8889,194730.5556,,
147,Residential,10381200,9053000,9627500,10648700,14325700,15232000,19054100,18105200,19272100,12865500,13034400,13219600,11881800,9957100,11147900,11884900,12994600,13227200,16422000,16152400,19023100,12612500,10219400,9507700,9780400,9266400,9101600,11168600,12715400,11909900,13266100,14074300,18022000,11060500,11766800,9534300,9438000,7936100,8576700,9247900,9209500,9073300,9939800,17093200,18401300,16176800,11806500,9426800,9553700,9155400,10815400,10433000,9045000,9631100,14544700,16846500,12862500,12286500,11771900,10940700,9118400,8732800,9373800,9730100,11739700,11874600,15261500,15577800,15396200,10314400,10025583.33,9016800,9773816.667,10518866.67,11671650,11824683.33,14748033.33,16308233.33,17162866.67,12552700,11437430.56,10274316.67,,
148,Irrigation - Residential,24500,11000,2100,7200,89400,60300,99800,84800,106500,52600,65900,69200,40900,49400,51900,56400,53200,54000,113900,100000,104200,52100,33500,14300,46800,46900,49000,57700,83200,60900,80100,98100,132200,67100,49000,31800,49100,29400,21600,26900,32400,32200,30500,97600,121900,112900,69200,26000,35600,24500,30600,24900,19600,18900,51900,106300,75800,36500,53400,21000,52100,20000,31500,59000,71500,166600,73500,122900,69000,48300,41500,30200,31116.66667,38683.33333,58216.66667,65483.33333,74950,101616.6667,101600,61583.33333,52083.33333,32083.33333,,
149,Multi-Family,14454000,12727700,14223700,13647700,14808700,16387100,16466500,17436500,17936600,15890400,15632000,14759300,16069400,14309600,13554100,14817200,14896700,15358600,16076200,16625100,16939600,16619400,14466500,15096300,15681300,14191000,13863800,14474000,14247100,15630800,15905200,15199400,16741100,14277400,14468300,13887800,15078800,12513800,15223400,13311200,12924000,13499300,13929400,14696000,15109700,13862700,14017100,13325300,14688300,13549200,13873500,13544000,13399900,14398300,13992900,15673600,15664300,13316900,12676300,13139900,14234500,11809700,13626300,13349000,13710500,14172500,15912900,15057200,15442100,5170900,15034383.33,13183500,14060800,13857183.33,13997816.67,14907766.67,15380516.67,15781300,16305566.67,13189616.67,14382430.56,13898683.33,,
150,Irrigation - Multi-Family,22800,22200,32200,43700,61600,75600,730900,805800,593400,273200,215700,153700,156100,156800,105600,171600,430600,421600,539400,676900,641400,625200,268800,183400,130700,176500,114800,259600,354500,451800,529700,530500,746200,517400,384400,127200,104600,69800,71200,102800,268600,277600,308900,573500,800900,932000,602000,541000,226100,88100,250200,544600,438900,448500,799600,1184600,564400,982500,577300,355200,227000,143100,268600,329700,463400,728400,822700,794300,841800,402900,144550,109416.6667,140433.3333,242000,336266.6667,400583.3333,621866.6667,760933.3333,698016.6667,622200,365458.3333,244986.1111,,
151,Residential,30914300,26438300,29137800,32413000,43611700,49555800,60244300,58730200,60156200,39089900,39007700,37805600,34287300,28769200,32673200,35644000,38624000,38240800,48532400,48561200,59647300,36418500,29172600,27794900,30406000,26413900,26507800,32469900,37221700,36278400,40263700,44771700,53311600,32450800,33757400,27669700,29944100,23925700,26076600,27876600,27636100,27770500,33818300,55415000,53958500,45296800,32764800,26796800,27688000,26110300,29401700,29607300,26559400,29588800,41919300,46338800,35344000,35690900,34049100,28356200,28304900,24010900,27720400,28772100,33830400,35289300,45799300,50100900,40870800,18783300,30257433.33,25944716.67,28586250,31130483.33,34580550,36120600,45096216.67,50652966.67,50548066.67,34621700,33168172.22,29061319.44,,
152,Irrigation - Residential,36300,56200,56400,59400,77900,78300,65300,138100,93000,45800,53100,45800,47500,40100,45500,41200,51600,48200,63800,71800,75200,39700,75300,23700,38700,40300,51600,45400,42700,47400,58400,56600,44400,24000,23000,5200,12900,13300,7300,17000,18900,10600,33800,95000,93100,112700,47900,1600,8900,11200,37600,34400,25400,31100,49900,60400,33000,28000,33500,22300,19500,43400,35900,42400,51600,80900,80000,50500,68700,29800,27300,34083.33333,39050,39966.66667,44683.33333,49416.66667,58533.33333,78733.33333,67900,46666.66667,43350,22113.88889,,
153,Multi-Family,51024900,43494300,49231300,47059900,50846500,54363700,54419000,59776900,55294800,54486900,51535200,46924300,54465100,45736900,46797000,48256500,50337600,53409300,54691700,58719300,52561600,52908500,49095000,48031100,56282100,44810200,45317100,48119000,47168600,51942600,51289800,54751500,54161700,49682300,52880000,51072000,56593200,46373300,50274000,48968000,50654600,53222400,57861200,60196700,59577500,56501500,51419000,54750900,56781800,50441200,51937700,53084400,51458700,58203600,55095300,57402600,58329100,54787100,53675900,55184700,56388600,50033200,53378700,51701100,52616600,57121900,58475400,54293200,57829300,5318500,55255950,46814850,49489300,49531483.33,50513766.67,54710583.33,55305400,57523366.67,56292333.33,45614133.33,52310175,50462975,,
154,Irrigation - Multi-Family,1241400,778900,1046100,1756600,2858700,3462200,4490200,5797300,5665800,4086300,3389100,2782500,2212800,1733400,2286400,2185100,3161100,3248700,4111900,4545800,4914100,3201000,1476800,1198400,1373400,900800,1026200,1664500,2282300,3338100,4214100,4625500,5485800,4302200,2723200,1575000,1032400,799400,963900,1298800,1702800,2027700,3557400,4890300,5802700,5218500,3737300,2657300,1958800,1707500,2651300,3244000,2663200,3026200,5599600,7614900,5764700,5203900,4467200,3030400,2188600,1403700,1743700,2341900,3493800,4332100,4672700,4214400,4056700,1486300,1667900,1220616.667,1619600,2081816.667,2693650,3239166.667,4440983.333,5281366.667,5281633.333,3916366.667,2910250,2077369.444,,
155,Residential,40594200,35231100,38041300,41702800,48609800,57491700,59629100,59831300,57524900,45897200,45374600,41988900,43383500,36544300,39331100,42063500,45198700,46274400,52936500,54035700,57089800,42043100,37145300,36821200,40725200,34620300,34522500,39187500,43409000,43763400,46575900,51820400,52546200,39750400,39631500,36205100,43694800,32262000,36895000,35869600,36189200,38440100,45465300,59812700,51765400,45940400,35439500,36793600,36972300,34726500,36914600,36117300,34981400,41655800,49463400,48390100,41330900,39876500,37866300,34834400,36853500,31433600,35034300,35113200,40229700,40863800,46746100,45463500,42477700,8611500,40370583.33,34136300,36789800,38342316.67,41436300,44748200,50136050,53225616.67,50455816.67,37019850,39304630.56,36796583.33,,
156,Irrigation - Residential,0,300,0,2500,26100,29300,43900,32300,48900,32600,33200,20400,37200,7100,5000,11000,20900,32400,43400,52500,47600,31000,6900,11000,10300,7800,25800,14100,18500,29200,46900,40700,43100,39900,31400,11000,16200,19400,31100,26900,8700,18200,60200,93600,69100,46600,26700,9100,10500,19600,20200,17300,15600,34200,48800,45400,34000,45800,20800,15200,19500,15700,16500,31100,36800,48900,55800,114000,72600,4300,15616.66667,11650,16433.33333,17150,21100,32033.33333,49833.33333,63083.33333,52550,33366.66667,22436.11111,13058.33333,,
157,Multi-Family,32494700,29771700,32077100,32642200,36305100,39024300,40731000,46707700,42266100,36782900,35987700,32377700,34329800,29621600,31323600,33284700,35057800,34264200,37551500,39304800,38338200,37496900,33576000,31153200,34315700,28490000,29398800,31414800,32372300,34459600,36424100,37484800,39313300,35133500,34512300,31521600,33612300,29337100,35490300,31351100,31217200,33231500,35202400,41240200,43115600,39752100,35471100,34634800,34923100,31745700,32493700,32921100,33975300,34946400,36437400,38232700,36808500,34867300,35249600,33350900,32466900,29152900,36455000,31143300,34665300,36300600,37722800,38307500,38569000,4135000,33690416.67,29686500,32873083.33,32126200,33932166.67,35371100,37344866.67,40212950,39735116.67,31361283.33,34747852.78,32120783.33,,
158,Irrigation - Multi-Family,555700,456900,632100,459000,1102200,1468800,2223600,2918700,2718300,2243700,2262300,990600,766300,679300,770200,970700,1253700,876900,1551500,1630500,1764700,1405700,708000,190300,275900,229000,377100,1106400,1385900,1263000,1438900,1406500,1915500,1282000,1334200,601700,293400,286100,361500,744200,724400,700100,1374700,1557700,1749900,1623900,1315600,822700,730700,609700,532800,650900,750400,725700,1229500,1447500,1794600,1280400,1529300,773200,689300,522000,961800,1047400,1336700,1135800,1727000,1997400,1328200,102100,551883.3333,463833.3333,605916.6667,829766.6667,1092216.667,1028383.333,1590866.667,1826383.333,1878533.333,1322966.667,1283547.222,640388.8889,,
159,Residential,53668800,46080100,48470400,62767900,90258300,109702600,119226300,117837900,125569800,83989400,80487900,73408100,63354100,49430300,59221400,67451600,74091300,80435900,104035800,107714100,118163200,79242400,53395400,48459600,51999300,45135200,45838000,59128500,76591700,77294700,83645500,103852100,110398300,70156700,69067400,48440000,53917400,39072800,47057400,50674300,47826800,52564000,81213100,123431300,109156900,94940500,53624500,45450300,46921700,47514300,51430500,52054600,46912900,64086100,98076700,87511000,76309500,77979700,63907900,49154600,46378400,41240500,48855200,52500100,69079400,74333900,94695200,92946800,84524300,20760300,52706616.67,44745533.33,50145483.33,57429500,67460066.67,76402866.67,96815433.33,105548866.7,104020333.3,71178166.67,62198286.11,51609688.89,,
160,Irrigation - Residential,29300,21100,34900,63600,107100,240000,191200,199900,249000,117300,112400,118000,87800,40900,79200,88900,88900,98800,160800,157900,227700,122700,25600,37100,60300,59900,55600,50900,107900,117000,129800,177900,209100,99000,113800,30200,25000,15400,25300,32200,34400,26600,150100,211300,164400,165900,55600,35600,33100,59500,80900,63600,33200,68700,156100,139000,148900,150700,103300,24800,24500,32100,54700,66700,114000,127600,191400,131300,140100,11400,43333.33333,38150,55100,60983.33333,80916.66667,113116.6667,163233.3333,169550,189866.6667,111166.6667,75672.22222,47308.33333,,
